
category,sub_category,skills,keywords
web-development,frontend,"React,Vue.js,Angular,JavaScript,TypeScript,HTML,CSS,SASS,Bootstrap,Tailwind","site web,application web,frontend,interface,UI/UX,responsive,SPA"
web-development,backend,"Node.js,Python,PHP,Java,C#,.NET,Ruby,API,Express,Django,Laravel","backend,serveur,API,base de données,architecture,microservices"
web-development,fullstack,"React,Node.js,Python,JavaScript,TypeScript,MongoDB,PostgreSQL","développement complet,full-stack,application web,site dynamique"
mobile-development,ios,"Swift,Objective-C,Xcode,iOS SDK,UIKit,SwiftUI","application iOS,iPhone,iPad,App Store,mobile"
mobile-development,android,"Java,Kotlin,Android Studio,Android SDK,Firebase","application Android,Google Play,mobile,smartphone"
mobile-development,hybrid,"React Native,Flutter,Ionic,Cordova,PhoneGap","application mobile,cross-platform,multi-plateforme"
design,graphic-design,"Photoshop,Illustrator,InDesign,Figma,Sketch","design graphique,logo,identité visuelle,charte graphique,print"
design,ui-ux,"Figma,Sketch,Adobe XD,Principle,InVision,Framer","UI/UX,interface utilisateur,expérience utilisateur,wireframe,prototype"
design,web-design,"HTML,CSS,JavaScript,Figma,Photoshop,Webflow","design web,site internet,maquette web,responsive design"
marketing,digital-marketing,"SEO,SEM,Google Ads,Facebook Ads,Analytics,Social Media","marketing digital,référencement,publicité,réseaux sociaux,campagne"
marketing,content-marketing,"Rédaction,SEO,WordPress,Blog,Newsletter,Social Media","contenu,rédaction,blog,newsletter,stratégie éditoriale"
marketing,seo,"SEO,Google Analytics,Search Console,Semrush,Ahrefs","référencement,SEO,positionnement,Google,trafic organique"
data-science,data-analysis,"Python,R,SQL,Excel,Tableau,Power BI,Pandas","analyse de données,statistiques,reporting,tableau de bord"
data-science,machine-learning,"Python,TensorFlow,Scikit-learn,Keras,PyTorch","intelligence artificielle,machine learning,IA,algorithme,prédiction"
data-science,data-engineering,"Python,SQL,Apache Spark,Kafka,Airflow,ETL","ingénierie données,pipeline,ETL,big data,architecture données"
consulting,business-consulting,"Stratégie,Management,Finance,Marketing,Analyse","conseil en stratégie,management,business,transformation"
consulting,it-consulting,"Architecture,DevOps,Cloud,Sécurité,Infrastructure","conseil IT,architecture,transformation digitale,cloud"
writing,copywriting,"Rédaction,Marketing,SEO,Storytelling,Communication","rédaction,copywriting,contenu,communication,storytelling"
writing,technical-writing,"Documentation,API,Manuel,Procédure,Formation","documentation technique,manuel,procédure,formation,API"
translation,french-english,"Français,Anglais,Traduction,Localisation,Révision","traduction,anglais,français,localisation,langue"
translation,multilingual,"Traduction,Localisation,Révision,Langue,Culture","traduction,langue,localisation,international,culture"
