
term,price_type,multiplier,unit
"par heure",hourly,1.0,hour
"€/h",hourly,1.0,hour
"de l'heure",hourly,1.0,hour
"par jour",daily,8.0,hour
"€/jour",daily,8.0,hour
"par journée",daily,8.0,hour
"forfait",fixed,1.0,project
"prix fixe",fixed,1.0,project
"montant global",fixed,1.0,project
"clé en main",fixed,1.0,project
"à partir de",starting,1.0,minimum
"dès",starting,1.0,minimum
"minimum",starting,1.0,minimum
"maximum",maximum,1.0,maximum
"jusqu'à",maximum,1.0,maximum
"pas plus de",maximum,1.0,maximum
